"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33531","회원가입 및 로그인 전체 E2E 테스트","chromium","Thu Sep 11 18:54:43 KST 2025","passed","Thu Sep 11 18:55:17 KST 2025","","e2e.spec.js","",""
"","26847","로그인 성공 케이스","chromium","Thu Sep 11 18:46:12 KST 2025","failed","Thu Sep 11 18:46:38 KST 2025","","login.spec.js","",""
"","30045","구글 검색 테스트","chromium","Thu Sep 11 18:06:46 KST 2025","broken","Thu Sep 11 18:07:16 KST 2025","","google-search.spec.js","",""
"","50662","상품 주문 및 장바구니 관리 전체 E2E 테스트 (단계별 확인)","webkit","Thu Sep 11 19:32:35 KST 2025","failed","Thu Sep 11 19:33:25 KST 2025","","e2e-order.spec.js","",""
"","20704","로그인 성공 케이스","webkit","Thu Sep 11 18:46:12 KST 2025","failed","Thu Sep 11 18:46:32 KST 2025","","login.spec.js","",""
"","1613","회원가입 기능 - 성공 케이스","chromium","Thu Sep 11 18:32:55 KST 2025","passed","Thu Sep 11 18:32:57 KST 2025","","register.spec.js","",""
"","1304","회원가입 기능 - 성공 케이스","firefox","Thu Sep 11 18:12:15 KST 2025","failed","Thu Sep 11 18:12:16 KST 2025","","register.spec.js","",""
"","6800","회원가입 기능 - 실패 케이스 (중복 사용자명)","chromium","Thu Sep 11 18:32:55 KST 2025","failed","Thu Sep 11 18:33:02 KST 2025","","register.spec.js","",""
"","6860","회원가입 기능 테스트","firefox","Thu Sep 11 18:06:46 KST 2025","failed","Thu Sep 11 18:06:53 KST 2025","","register.spec.js","",""
"","7641","회원가입 기능 테스트","webkit","Thu Sep 11 18:06:46 KST 2025","failed","Thu Sep 11 18:06:54 KST 2025","","register.spec.js","",""
"","508","회원가입 기능 - 실패 케이스 (중복 사용자명)","webkit","Thu Sep 11 18:12:15 KST 2025","failed","Thu Sep 11 18:12:16 KST 2025","","register.spec.js","",""
"","5874","로그인 실패 케이스 (잘못된 비밀번호)","chromium","Thu Sep 11 18:43:43 KST 2025","failed","Thu Sep 11 18:43:49 KST 2025","","login.spec.js","",""
"","41386","상품 주문 및 장바구니 관리 전체 E2E 테스트","firefox","Thu Sep 11 19:45:36 KST 2025","failed","Thu Sep 11 19:46:18 KST 2025","","e2e-order.spec.js","",""
"","945","회원가입 기능 - 실패 케이스 (중복 사용자명)","firefox","Thu Sep 11 18:12:15 KST 2025","failed","Thu Sep 11 18:12:16 KST 2025","","register.spec.js","",""
"","43763","상품 주문 및 장바구니 관리 전체 E2E 테스트","webkit","Thu Sep 11 19:45:36 KST 2025","failed","Thu Sep 11 19:46:20 KST 2025","","e2e-order.spec.js","",""
"","30084","구글 검색 테스트","firefox","Thu Sep 11 18:06:46 KST 2025","broken","Thu Sep 11 18:07:16 KST 2025","","google-search.spec.js","",""
"","30048","구글 검색 테스트","webkit","Thu Sep 11 18:06:46 KST 2025","broken","Thu Sep 11 18:07:16 KST 2025","","google-search.spec.js","",""
"","12597","로그인 성공 케이스","firefox","Thu Sep 11 18:46:12 KST 2025","failed","Thu Sep 11 18:46:24 KST 2025","","login.spec.js","",""
"","13656","회원가입 후 로그인 성공 케이스","chromium","Thu Sep 11 18:42:51 KST 2025","failed","Thu Sep 11 18:43:05 KST 2025","","login.spec.js","",""
"","52803","회원가입, 로그인, 주문 및 장바구니 관리 전체 E2E 테스트","chromium","Thu Sep 11 19:51:17 KST 2025","failed","Thu Sep 11 19:52:10 KST 2025","","e2e-order.spec.js","",""
"","26231","상품 주문 및 장바구니 관리 전체 E2E 테스트","chromium","Thu Sep 11 20:21:32 KST 2025","passed","Thu Sep 11 20:21:59 KST 2025","","e2e-order.spec.js","",""
"","1597","회원가입 기능 테스트","chromium","Thu Sep 11 18:06:46 KST 2025","passed","Thu Sep 11 18:06:48 KST 2025","","register.spec.js","",""
"","50954","상품 주문 및 장바구니 관리 전체 E2E 테스트 (단계별 확인)","firefox","Thu Sep 11 19:32:35 KST 2025","failed","Thu Sep 11 19:33:26 KST 2025","","e2e-order.spec.js","",""
"","25873","회원가입 및 로그인 전체 E2E 테스트","webkit","Thu Sep 11 18:54:43 KST 2025","passed","Thu Sep 11 18:55:09 KST 2025","","e2e.spec.js","",""
"","16686","회원가입 및 로그인 전체 E2E 테스트","firefox","Thu Sep 11 18:54:43 KST 2025","passed","Thu Sep 11 18:55:00 KST 2025","","e2e.spec.js","",""
"","521","회원가입 기능 - 성공 케이스","webkit","Thu Sep 11 18:12:15 KST 2025","failed","Thu Sep 11 18:12:16 KST 2025","","register.spec.js","",""
"","99923","상품 주문 및 장바구니 관리 전체 E2E 테스트 (단계별 확인)","chromium","Thu Sep 11 19:36:28 KST 2025","failed","Thu Sep 11 19:38:08 KST 2025","","e2e-order.spec.js","",""
